P/N #,Product Discreption,Product Group Code,Product Price
2070C135350,"2070C ATC STANDARD CONTROLLER 4AN,TS2-T1,7A",C-270,"$1,343.12"
2070C1D5300,2070C CONTROLLER,C-270,"$1,133.62"
2070C1D5510,2070 C CONTROLLER,C-270,"$1,587.76"
2070E625300,2070E CONTROLLER 2009 TEES,C-270,$975.93
2070E625305,2070E CONTROLLER 2009 TEES,C-270,$986.86
2070E625500,2070E CONTROLLER 2009 TEES,C-270,$923.88
2070E625505,2070E CONTROLLER 2009 TEES,C-270,$964.36
2070E645550,2070E CONTROLLER 2009 TEES,C-270,"$1,662.07"
2070E6E5555,"2070E CONTROLLER, 2E NCDOT",C-270,$0.00
2070E6F5500,2070E CONTROLLER 2009 TEES,C-270,"$1,043.99"
2070ENN5650,2070E CONTROLLER,C-270,$948.61
210-1002-502,"ASSY, DETECTOR RACK, 10 POS, POWER SUPPLY",B-TS1,$300.29
210-1002-518,"ASSY, DET RACK,6POS,6 OF 4CH DETECTOR",B-TS1,$292.29
210-1002-519,"ASSY, DET RACK,6POS,4 OF 4CH DET,2 OF 2CH EVP SPEC.",B-TS1,$289.88
210-1012-501,"ASSY, DET RACK,10 POS, 2 BIU,",B-T21,$683.77
210-1013-501,"ASSY, DET RACK, 8 POS, 2 BIU,",B-T21,$665.31
210-1015-001,"BRKT, DET RACK, WIRE SUPPORT",B-TS1,$35.00
210-1015-002,"BRKT, DET RACK, WIRE SUPPORT,",B-TS1,$21.97
214-1001-509,"ASSY, DROP CABLE, 18 AWG PAIR, DUO, AUTOSCOPE, 300 FT",A-VAR,$424.60
217-1001-511,"ASSY, MAIN POWER CABLE, OVERMOLDED, A/S ENCORE, 400 FT",A-VAR,$158.99
218-1041-001,"CAB RTMS ASSY, INTERFACE",R-RTM,$188.45
218-1071-502,"ASSY INTERFACE CABINET, W/ LOCK",B-TS1,$304.65
219-1000-501,"ASSY,CABLE, RJ12 TO RJ45, ADVANCE+",A-SMS,$6.22
219-1000-502,"ASSY,CABLE, RJ12, ADVANCE+",A-SMS,$5.40
219-1000-503,"ASSY,CABLE, RS-485 ADAPTOR, S1 PANEL, ADVANCE+",A-SMS,$6.72
219-1002-001,"BRACKET,DOUBLE U,ADVANCE+",A-SMS,$9.06
219-1003-502,"ASSY, INTERFACE PANEL, 1 CBL, ADVANCE+",A-SMS,$97.02
219-1003-503,"ASSY, INTERFACE PANEL, 2 CBL, ADVANCE+",A-SMS,$103.23
219-1004-501,"ASSY, SENSOR, MTG, ADVANCE+",A-SMS,"$2,047.52"
219-1005-501,"ASSY, SENSOR, MTG, ADVANCE+",A-SMS,"$2,074.06"
219-1006-501,"ASSY, PCB, S1 INTERFACE PANEL,",A-SMS,$32.57
219-1008-501,"ASSY, S1 INTERFACE PNL, NO CBL",A-SMS,$95.98
219-1008-502,"ASSY,S1 INTERFACE PNL,1 CBL, ADVANCE+",A-SMS,$99.70
219-1008-503,"ASSY,S1 INTERFACE PNL, 2 CBL, ADVANCE+",A-SMS,$103.42
219-1008-504,"ASSY, S1 INTERFACE PNL, 3 CBL,",A-SMS,$107.14
219-1008-505,"ASSY, S1 INTERFACE PNL, 4 CBL, ADVANCE+",A-SMS,$110.86
219-1009-501,"ASSY, S1 INTERFACE PNL, NO CBL DIN RAIL HSG, ADVANCE+",A-SMS,$160.20
219-1009-502,"ASSY, S1 INTERFACE PNL, 1 CBL, DIN RAIL HSG, ADVANCE+",A-SMS,$163.92
219-1009-504,"ASSY, S1 INTERFACE PNL, 3 CBL, DIN RAIL HSG, ADVANCE+",A-SMS,$171.36
219-1014-501,"ASSY, CABLE, DATA & PWR, 10FT,  ADVANCE+",A-SMS,$21.91
219-1014-503,"ASSY, CABLE, DATA & PWR, 60FT,  ADVANCE+",A-SMS,$123.53
219-1016-501,"ASSY,USB TO RS-485 ADAPTR & CABLE, ADVANCE+",A-SMS,$7.14
219-1016-502,"ASSY,USB TO RS-485 ADAPTOR & CABLE, FOR S1 PANEL, ADVANCE+",A-SMS,$8.46
219-1020-501,"ASSY, TRAFFIC MGT, INTERFACE, BOARD, (TMIB), ADVANCE+",A-VAR,"$1,872.52"
219-1022-001,"DIN RAIL, TS 35 X 254 MM",A-SMS,$19.29
219-1023-501,"ASSY, CABLE, TMIB TO DEM144,  ADVANCE+",A-SMS,$19.54
21932-6-30-TA-49,"TAPPED ANGLE 49""",CCI,$0.00
289731A33X,"33X O/F #2, NC KIT MODIFY POWER HARNESS",B-TRF,$320.74
289739A33X,LED LIGHT ASSY  2 LED LIGHTS,B-TRF,$94.96
289742A330,330 CINN  DOOR ASSY SIL/ AG CINCINNATI PAINTED SIL/AG,B-TRF,$180.02
289749A303,LED LIGHT ASSY  1 LED,B-TRF,$65.64
2ERERD70H19WAXLV10,REAR DOOR AUX,CCI,$0.00
2ERERD78H19WFLSO10,"REAR DOOR, SOLID MNT",CCI,$0.00
2ERESP42H24DFLSO10,"PANEL, FLUSH SPLID",CCI,$0.00
2ERESP42H30DFLSO10,"SIDE PANEL, SOLID FLUSH MT",CCI,$0.00
2ERETP19W24DSO10,TOP PANEL SOLID,CCI,$0.00
2ERETP19W30DLV10,TOP PANEL,CCI,$0.00
2ERETP19W36DF510,TOP PANEL,CCI,$0.00
3.1152.00,"BRACKET, FRONT & REAR SKIN PNL. VHP HOLMIUM LASER",CCI,$0.00
3.1152.01,"BRACKET, FRONT & REAR",CCI,$0.00
3.1153.01,"BRACKET, TOP",CCI,$0.00
3.1202.01,"BRACKET, INTERLOCK SWITCH",CCI,$0.00
3.1250.01,"COVER, PWR-CORD",CCI,$0.00
3.1255.01,ENCLOSURE AC-PWR DIST.,CCI,$0.00
3.1264.01,ENCLOSURE,CCI,$0.00
3.12664.01,"ENCLOSURE, OPTICAL vhp",CCI,$0.00
302387-1,CABINET ASSY,CCI,$0.00
30377D00101,"INNER PANEL, CONTROLLER CHASSIS",CCI,$0.00
30377D00102,"FAN TRAY,CONTROLLER CHASSIS",CCI,$0.00
30377D00167,"BARCKET, MTG POWER SUPPLY",CCI,$0.00
30377D00168,"SUPPORT, CARDCAGE CONT. CHASSIS",CCI,$0.00
30377D00256,"SUB-PANEL, HIGH VOLTAGE",CCI,$0.00
30377D00289,"ANGLE, UPS SUPPORT",CCI,$0.00
31637P26,"SURGE PRO, CAB, ACP-340 W/FLT MTG BRK ACP-340, EDCO ONLY",B-T21,$63.79
31747P4,"PULL TAB, 40 POS.",C-ASC,$0.59
32939P9,"EXTRUSION 5.20""",A-VAR,$11.45
330-1067-501,330 SIL/AG BASE MT CINN BASE MOUNT BOTTOM,B-TRF,$371.34
330-1070-501,330 EXT CAB CINN SIL/AG EXTENDED POLE MT,B-TRF,$415.18
330-1071-501,330 EXT FINAL WELD CINN EXTENDED POLE MOUNT,M-SM,$220.70
330-1073-501,"DOOR,EXT,CINN 330",M-SM,$104.53
332-1007-001,CVR LEXAN C/B SW 1 POS,B-TRF,$0.87
332-1022-501,"HARN,O/F#2A,SC,33X",B-TRF,$8.08
332-1023-501,"HARN,O/F#2 B,SC,33X",B-TRF,$6.90
332-1024-501,"HARN,O/F#1B A,SC,33X",B-TRF,$0.00
332-1025-501,"HARN,O/F#1B B,SC,33X",B-TRF,$0.00
332-1031-501,"33X-O/F#2 NYL W/O BLKS,SC, 33X",B-TRF,$105.42
332-1032-501,"O/F#2 NYL,L/S,SC,33X",B-TRF,$42.98
332-1034-501,"O/F#1 NYL,SC,33X",B-TRF,$528.19
332-1036-501,332 CAB W/LVRD DOORS SC,B-TRF,$258.87
332-1069-502,332 DBL CAB NO POL DR WITH STANDARD HANDLES PNTD SHRWIN WILLIAMS DGS2-4001,B-TRF,$833.90
332-1097-501,33X O/F C1/DC HARN SC,B-TRF,$0.00
332-1098-501,33X O/F #2 C1/DC HARN SC,B-TRF,$18.22
332-1115-001,DOOR FT 332 SS,B-TRF,$0.00
332-1116-001,DOOR REAR 332 SS STAINLESS STEEL,B-TRF,$48.75
332-1125-001,SIDE LT 332 SS,B-TRF,$0.00
332-1126-001,SIDE RIGHT 332 SS,B-TRF,$0.00
332-1138-5XX,FT DOOR WELD ASSY 332 SS STAINLEES STEEL,B-TRF,$0.00
332-1156-501,33X MON HARN SC,B-ITS,$0.00
332-1216-501,"BASE ASSY, RISER STAND",B-TRF,$176.68
332-1219-501,"BRACKET, RISER STAND",B-TRF,$42.52
332-1258-001,"332D, MOUNTING PLATE, A/C",B-TRF,$46.22
332-1263-001,"332D, BOTTOM, DOUBLE A/C",B-TRF,$78.98
332-1270-501,332D DUCT REAR EXHAUST AC ASSY ICE QUBE IQ5000V16-126,B-TRF,$28.82
332-1293-501,"332, DET, TEST, PNL",B-TRF,$133.74
332-1297-001,"BRACKET, MTG, POLARA CCU",B-TRF,$0.00
332-1305-501-00,"CABINET ASSY, 332, 12'' EXT, NATURAL",B-TRF,$889.14
332-1316-001,"PNL, SERV, 332",B-RWE,$18.21
332-1318-501,"CABINET ASSY,332D, AC & SUNSHIELDS",B-RWE,"$1,558.15"
332-1319-501,"332 DIN RAIL, VDSL, OREGON DOT",B-RWE,$566.99
332-1320-501,"332 DIN RAIL, FIBER,OREGON DOT",B-RWE,$468.45
332-1324-501,"GEN BOX WELD, 332",B-TRF,$26.57
332-1325-001,"HOUSING, GEN BOX WELD, 332",B-TRF,$18.92
332-1326-501,"FRONT DOOR,ASSY, 332 GEN,",B-TRF,$11.46
332-1327-001,"DOOR, GEN 33X",B-TRF,$5.90
332-1329-001,"SIDE, 12"" RISER, 332, SS",B-TRF,$79.58
332-1330-001,"GUIDE RISER SUPPORT, SS",B-TRF,$79.58
332-1332-001,"COVER, CORD",B-TRF,$1.39
332-1338-501,"CABINET ASSY, 332 W/SUN SHLDS MICHIGAN WHITE (T009-WH110) RIGHT SIDE MODIF FOR PL BOARD",B-TRF,$852.90
332-1340-501,"HOUSING WELD,332,APX MOUNT",B-TRF,$257.38
332-1350-501,"FAN PNL ASSY, #2, 332D",B-TRF,$85.67
333-1028-001,"HINGE, I/O MOUNTING PANEL",B-TRF,$2.82
333-1039-501,"KIT,PUNCH,CAB,333 MD HYB,",B-TRF,$225.46
333-1041-501,"CABINET ASSY, 333SD, W/GEN FLUSH MOUNT GENERATOR SWITCH SIL/AG (-4G)",B-TRF,$874.17
333-1043-001,"SIDE, LEFT, 333SD",B-TRF,$61.95
333-1044-501,"CABINET ASSY, 333SD W/GEN (LACEY)",B-TRF,$858.84
333-1045-501,"HOUSING WELD, 333SD (LACEY)",B-TRF,$327.38
333-1047-001,"PANEL, INPUT, 333SD (LACEY)",B-TRF,$18.96
333-1048-501,"PANEL ASSY, INPUT 333SD LACEY",B-TRF,$86.82
333-1050-501,"SIDE WELD, RIGHT, 333SD (LACEY)",B-TRF,$87.66
333-1057-501,"CABINET ASSY, 33S WITH GENERATOR",B-TRF,"$1,011.85"
333-1066-501,"FAN PNL ASSY, FRONT, 333SD",B-TRF,$138.41
334-1067-501,"ASSY, RIGHT, 334, 15KVA,",B-TRF,$337.41
334-1075-001,"PNL, SERV, 334, .125 THICK",B-TRF,$35.03
334-1090-501,"334, DOOR SW MOD, MIDASCO      W/NO SWITCHES",B-TRF,$17.96
334-1092-001,334 WSDOT DISP PNL PCB,M-PCB,$120.77
336-1061-501,"KIT, PUNCH, 336",B-TRF,$132.55
336-1149-501,"CAB ASSY, 336S SUN SHIELDS  NO REAR DOOR",B-RWE,$892.12
336-1150-501,"HSG WELD, 336S HSG WELD, 336S",B-RWE,$201.13
336-1153-001,"TOP,CABINET,336",B-RWE,$26.81
336-1154-501,"BOTTOM PAN WELD,336 NO REAR DOOR",B-RWE,$0.00
336-1155-001,"BOTTOM PAN,336",B-RWE,$39.31
336-1157-501,"SIDE WELD, LEFT, 336S NO REAR DOOR",B-RWE,$0.00
336-1158-001,"SIDE, LEFT, 336S,NO REAR DOOR",B-RWE,$101.32
336-1159-501,"SIDE WELD, RIGHT, 336S, NO REAR DOOR",B-RWE,$0.00
336-1160-001,"SIDE, RIGHT, 336S,NO REAR DOOR",B-RWE,$45.86
336-1161-001,"REAR PANEL, CABINET, 336S",B-RWE,$35.20
336-1162-001,"PLATE, POLE MOUNT, 336",B-RWE,$4.07
34030G9,"ASSY,DETECTOR RACK,TS2 W/EVP",B-TS1,$238.05
34073P30,BRKT MTG,B-TS1,$5.81
34073P51,"BRKT, ROD KEEPERS",B-TS1,$16.77
34073P56,"POLICE DOOR ASSY, BEST LOCK",B-TS1,$0.00
34142P2,"COVER, T/B, FAN, LAMP, THERM,B-TS1",B-TS1,$44.90
34409G3-2-3,"ASSY, CABINET, 67"", ALUM, 332 BASE MTG, CONT WELD, PAINTED OUTSIDE",B-TS1,$0.00
34410G6-2-3,"55"" (P38) AL CAB POLE MNT NAT AL,CONT. WELD,PAINT OUTSIDE",B-TS1,$610.38
34909G104,"SUB ASSY, BACK PLATE, STANDALONE,TMIB, ADVANCE+",A-SMS,$5.08
34909P7,"COVER, STANDALONE, TMIB, ADVANCE+",A-SMS,$5.70
35805G1-2-4,"ASSY, CABINET, 36"" SPECIAL,",B-TS1,$0.00
366343-1,CONTROL LINKAGE,CCI,$0.00
366352-1,PARACHUTE COVER,CCI,$0.00
37006P7,LOAD SW LS200 GDI,B-TRF,$22.89
3890AS000724-01,SUB-FLOOR ASSEMBLY CHASSIS,CCI,$0.00
397HNF115-1,RAIL CABINET CCI P/N 106568,CCI,$0.00
397HNF122-1,"BAR, SIDE CCI P/N 106569-1",CCI,$0.00
397HNF122-2,"BAR, SIDE CCI P/N 106569-2",CCI,$0.00
3EREGK70HVR000,GROUNDING BAR KIT,CCI,$0.00
40409-1,"BEACKET, LATCHING SWITCH",CCI,$0.00
40695P27,TERM SPADE #8 10-12 AWG,B-TS1,$0.20
44665G84,"DET,2 CH, SS OUTPUT RM BICYCLE",B-TRF,$402.33
44665G85,"DET, 2 CH, RACK MT, TS2 TYPE,",B-VAR,$367.88
45018G5,"ASSY,CABLE,ADAPTOR, MULTISONIC",B-TS1,$140.86
45310P1-19,"CAB, ALUM  36 X 20 X 16,",B-TS1,$413.75
54571P30,"CKBKR,10A,1P,120/240V,SQUARE D",B-TS1,$9.50
54571P36,"CIRCUIT BREAKER, 4A, 240VAC,   1 POLE  SQUARE D",B-TS1,"$11,864.00"
457777,"PANEL , FRONT, AMP IN",CCI,$0.00
457778,"PANEL, FRONT, AMP OUT",CCI,$0.00
48-4415A-1,MITCHELL DISPLAY PANEL,B-TRF,$354.25
48-4415A-2,MITCHELL DISPLAY PANEL  SYS#2,B-TRF,$463.25
48-4415A-3,MITCHELL DISPLAY PANEL,B-TRF,$485.05
48-4415A-4,MITCHELL DISPLAY PANEL,B-TRF,$408.75
48-4415A-5,MITCHELL DISPLAY PANEL,B-TRF,$463.25
48-4460-1,MITCHELL DISPLAY PANEL,B-TRF,$539.55
48-4460-2,MITCHELL DISPLAY PANEL,B-TRF,$506.85
4ERELB70HVRUN10,"LACING Bar 70""",CCI,$0.00
4ERELB82HVRUN10,"LACING BAR 82.25""",CCI,$0.00
50253-443-00,COVER B2 FLANGE MICRO WIU,CCI,$0.00
504048-1,BRACKET SUPPORT,CCI,$0.00
551486-2,ENCLOSERE NEMA,CCI,$0.00
551486-3,"LEFT HAND HINGE, ENCL. NEMA",CCI,$0.00
551568-4,"ENCLOSURE, NEMA",CCI,$0.00
57389P15,"FILTER, AIR, 12X16X1, 2 PLY",B-TS1,$4.79
57410P16,"TERM BLK,16 POS, DBL",B-TS1,$16.82
58759P13,"CABLE,RIBBON,37 COND.",C-ASC,$57.14
600210-00,"WHEEL HUB, PAINTED",CCI,$0.00
677-0025-029,"CABINET, RACK",CCI,$0.00
6LU84,POWER SUPLLY  GRAINGER QUOTE,A-VAR,$23.21
"7,566.8222",TS2-1 PNG CAB ASSY PASCO COUNTY Ridge Road and Kitty Hawk Dr,B-T21,"$7,566.82"
705020-1,WELDED FRAME ASSY,CCI,$0.00
705023-1,AFT PANEL,CCI,$0.00
705026-1,FRAME COVER ASSEMBLY,CCI,$0.00
705028-1,FRAME CROSS MEMBER ASSY,CCI,$0.00
740-755-21,SURGE PLATE ASSEMBLY 120/240V,B-VAR,$206.01
776513020,SURR HESCO LF60,B-TRF,$35.97
"8,932.63664",TS2-T1 PNG CAB ASSY CITY OF AUBURN SPARE CABINET,B-T21,"$8,177.78"
800441-1,"COVER, ACCESS",CCI,$0.00
800446-1,PANEL FRONT RPU,CCI,$0.00
801522-1,"Plate, Spring Depressor",CCI,$0.00
801524-1,"BRACKET, BIRD CAGE",CCI,$0.00
805028-1,"COVER, FILTER",CCI,$0.00
84-41102-003-23,"COVER, CABLE DUCT",CCI,$0.00
84-41102-03-03,"COVER, CABLE DUCT",CCI,$0.00
84-41111-002-23,"DUCT, CABLE",CCI,$0.00
850-172F,POLARA CCU WALL MOUNT KIT,D-TSA,$19.08
905533-01-SFM,FRAME WELDMENT CYLINDER,CCI,$0.00
91-07017-001-23-007,TOP PANEL,CCI,$0.00
95888-707-1-LB,"LEG BRACE, THERMAL CONT. UNIT, KIT OF 8 BRAKETS W/HWR",CCI,$0.00
9943-24-WP,"DRAWER, 7""H, 24"" DEEP,W/ 1/4 PADDING",CCI,$0.00
A450-1019-01,"ASSY, TOP COVER, AIS-V ZOOM  CONTROLLER",A-VAR,$1.91
A450-1082-09,"BUSHING CONNECTOR, DUO  SENSOR",A-VAR,$2.53
A650-1061-05,"ASSY,OVERLAY, FACEPLATE, NEMA,  TERRA ACCESS POINT",A-VAR,$1.17
A650-1064-02,"ASSY, FACEPLATE, NEMA,OVERLAY",A-VAR,$1.16
A700-1035#01,MANTA CAMERA ASSEMBLY,A-ENC,$512.30
AENCOREH,ENCORE MVP SENSOR WITH HARTING CONNECTOR,A-ENC,$759.49
ASLEWTS041ASY2001,FRONT PANEL,CCI,$0.00
ASLEWTS041ASY2002,REAR PANEL,CCI,$0.00
ASLEWTS041ASY2003,SIDE PANEL,CCI,$0.00
ASLEWTS041ASY2004,TOP PANEL,CCI,$0.00
ASLEWTS041ASY2005,BOTTOM PANEL,CCI,$0.00
ASOLOTERRA1P,SOLO TERRA MVP SENSOR STANDARD LENS,A-TER,"$1,006.05"
C00025P008-19,"CAB G ALUM NATURAL 48x25x16 PL MAIN DR W/POLICE DR ""NOT CONT""",T-CCI,$628.08
C00286P014-XX-07,FAN PLATE,N/A,$0.00
C00286P122-14,"MSX BLKOUT/NATIN 59""x30x17 S.S",B-T21,$0.00
C00619P006-SS,"ENCLOSURE, P44 DUAL DOOR, SST, CANADA",B-T21,"$1,227.25"
C00622P005-15,"ENCLSR BELL 14""x17""x6.5"" GREY ALUMIN ASM COMPLETE",T-CCI,$249.72
C00635P001-14,"EXT BASE 15"" A 2 PC BLACK OUTS",T-CCI,$0.00
C00635P001-15,"EXT BASE 15""ALUM 2PC GREY 'M'",T-CCI,$126.65
C00635P004-15,"C00635P004-15, 1, BASE EXTEN, 44X26X15, GREY",T-CCI,$186.61
C10FRSD-001,"BASE,OPNE RACK",CCI,$0.00
C800P10-5,BRKT FILLTER M-SERIES NATURAL,T-CCI,$23.48
C800P10-5-15,BRKT FILTER M-SERIES GREY DWG# C800P10MOD,T-CCI,$11.88
C800P43-15,BRKT FRAM FILTER GREY W/TABS C NEW GREY PFH502S8,T-CCI,$20.41
C811P50-001,MAIN DOOR,N/A,$0.00
CAB10619,TS2-T1 PNG CAB ASSY SIGNAL CONTROL PRODUCTS,B-T21,"$4,041.83"
CAB13130,TS2-T1 PNG CAB ASSY BID FOR PATTY JOHNSON SAME AS CAB#11231 EXCEPT PAINT,B-T21,"$5,308.24"
CAB13594,TS2-T1 PNG CAB ASSY CITY OF EL MIRAGE DYSRAT RD @ DYSRT HS ACCESS RD,B-T21,"$6,681.69"
CAB14940,TS2-T1 PNG CAB ASSY PINELLAS COUNTY,B-T21,"$6,506.85"
CAB14941,TS2-T1 PNG CAB ASSY PINELLAS COUNTY,B-T21,"$6,506.85"
CAB14942,TS2-T1 PNG CAB ASSY PINELLAS COUNTY,B-T21,"$6,506.85"
CAB14943,TS2-T1 PNG CAB ASSY PINELLAS COUNTY,B-T21,"$6,506.85"
CAB16086,TS2-2 HARDWIRED M CABINET SLTS,B-T21,"$5,231.62"
CAB16163,"TS2-T1 PNG CAB  P38 POLE,CHARLESTON, WV,LIGHT GREEN",B-T21,"$4,617.71"
CAB16164,TS2-T1 PNG CAB  P38 POLE,B-T21,"$4,720.74"
CAB16165,TS2-T1 PNG CAB P44  BASE,B-T21,"$4,723.83"
CAB16166,TS2-T1 PNG CAB P38  POLE,B-T21,"$4,758.77"
CAB16191,"TS2-1 PNG CAB ASSY, AKDOT-CENTRAL REGION, KGB ROAD/FERN STREET",B-T21,"$13,787.90"
CAB16242,TS2-T1 CAB ASSY,B-T21,"$5,802.23"
CAB16292,TS2-TYPE1 HARDWIRE CAB,B-T21,"$4,234.30"
CAB16294,TS2-T2 CABINET,B-T21,"$4,323.05"
CAB16321,"TS2-T1 PNG CAB ASSY, NMDOT, CARLSBAD",B-T21,"$4,873.04"
CAB16322,TS2-T1 PNG CAB ASSY PINELLAS COUNTY,B-T21,"$7,702.39"
CAB16323,TS2-T1 PNG CAB ASSY PINELLAS COUNTY,B-T21,"$7,702.39"
CAB16324,TS2-T1 PNG CAB ASSY PINELLAS COUNTY,B-T21,"$7,702.39"
CAB16326,TS2-T1 PNG CAB ASSY SALT LAKE COUNTY,B-TS1,"$4,405.37"
CAB16327,TS2-T1 PNG CAB ASSY SALT LAKE COUNTY,B-TS1,"$4,202.06"
CAB16328,TS2-T1 PNG CAB ASSY CLEARWATER(PINELLAS SPEC),B-T21,"$6,736.63"
CAB16329,TS2-T1 PNG CAB ASSY PASCO COUNTY,B-TS1,"$6,347.55"
CAB16330,TS2-T1 HARDWIRED CAB CITY OF BANGOR,B-TS1,"$5,107.00"
CAB16331,TS2-T1 PNG CAB ASSY CLARK COUNTY NW 9TH AVE./99TH ST.,B-TS1,"$6,301.30"
CAB16332,TS2-T2 PNG CAB ASSY CITY OF LA QUINTA,B-TS1,"$4,925.15"
CAB16335,"TS2-1 PNG CAB ASSY 6,491.76327",B-T21,"$6,491.76"
CAB16336,"TS2-T1 PNG CAB ASSY FDOT-LEE COUNTY,DOT Spare CabinetB",B-T21,"$5,362.95"
CAB16337,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$5,362.95"
CAB16338,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$5,362.95"
CAB16339,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$5,866.39"
CAB16340,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$5,871.26"
CAB16341,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$6,472.13"
CAB16342,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$5,923.94"
CAB16343,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$6,411.52"
CAB16344,TS2-T1 PNG CAB ASSY,B-T21,"$5,919.87"
CAB16345,TS2-T1 PNG CAB ASSY,B-T21,"$5,888.44"
CAB16346,TS2-T1 PNG CAB ASSY,B-T21,"$5,392.24"
CAB16347,TS2-T1 PNG CAB ASSY,B-T21,"$5,782.88"
CAB16348,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$5,326.98"
CAB16349,TS2-T1 PNG CAB ASSY,B-T21,"$5,869.62"
CAB16350,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$5,851.64"
CAB16351,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$5,410.22"
CAB16352,TS2-T1 PNG CAB ASSY,B-T21,"$5,905.59"
CAB16353,TS2-T1 PNG CAB ASSY,B-T21,"$5,905.59"
CAB16354,TS2-T1 PNG CAB ASSY,B-T21,"$5,888.22"
CAB16355,TS2-T1 PNG CAB ASSY,B-T21,"$6,416.20"
CAB16356,TS2-T1 PNG CAB ASSY,B-T21,"$6,434.55"
CAB16357,"TS2-T1 PNG CAB ASSY,FDOT- Lee County, DOT,  US 41 & Collier Ave",B-T21,"$5,851.64"
CAB16358,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT US 41 & Hill Ave",B-T21,"$6,271.30"
CAB16359,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT  US 41 & Carrell Ave",B-T21,"$6,307.27"
CAB16360,TS2-T1 PNG CAB ASSY,B-T21,"$5,869.62"
CAB16361,TS2-T1 PNG CAB ASSY,B-T21,"$6,361.23"
CAB16362,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$6,434.19"
CAB16363,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT",B-T21,"$6,452.17"
CAB16364,TS2-T1 PNG CAB ASSY,B-T21,"$6,506.13"
CAB16365,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOTFDOT  US 41 & N Key Dr",B-T21,"$5,916.90"
CAB16366,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT US 41 & Pondella Rd",B-T21,"$5,970.85"
CAB16367,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT  Fowler St & Thompson",B-T21,"$6,323.51"
CAB16368,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT  Fowler St & 2nd St",B-T21,"$6,323.51"
CAB16369,TS2-T1 PNG CAB ASSY,B-T21,"$5,887.61"
CAB16370,TS2-T1 PNG CAB ASSY,B-T21,"$6,323.51"
CAB16371,TS2-T1 PNG CAB ASSY,B-T21,"$5,887.61"
CAB16372,TS2-T1 PNG CAB ASSY,B-T21,"$5,887.61"
CAB16373,TS2-T1 PNG CAB ASSY,B-T21,"$5,923.58"
CAB16374,TS2-T1 PNG CAB ASSY,B-T21,"$5,887.61"
CAB16375,TS2-T1 PNG CAB ASSY,B-T21,"$5,833.65"
CAB16376,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT MLK & Hendry St",B-T21,"$5,851.64"
CAB16377,"TS2-T1 PNG CAB ASSY FDOT- Lee County, DOT MLK & Thompson St- Fire",B-T21,"$5,887.61"
CAB16378,TS2-T1 PNG CAB ASSY,B-T21,"$5,374.25"
CAB16379,TS2-T1 PNG CAB ASSY,B-T21,"$5,869.62"
CAB16380,TS2-T1 PNG CAB ASSY,B-T21,"$5,887.61"
CAB16381,TS1 HARDWIRED CABINET JOINT BASE LEWIS-MCCHORD,B-T21,"$4,001.18"
CAB16382,TS2-T1 PNG CAB ASSY JOINT BASE LEWIS-MCCHORD,B-T21,"$7,096.75"
CAB16383,TS2-1 PNG CAB ASSY,B-T21,"$5,115.41"
CAB16384,TS2-T1 PNG CAB ASSY,B-T21,"$6,576.99"
CAB16385,TS2-1 PNG CAB ASSY CITY OF BREA,B-T21,"$4,514.92"
CAB16386,TS2-T1 PNG CAB ASSY CITY OF BREA,B-T21,"$4,514.92"
CAB16387,TS2-T1 PNG CAB ASSY City of Brea,B-T21,"$4,451.70"
CAB16388,TS2-T1 PNG CAB ASSY,B-T21,"$5,549.16"
CAB16389,TS2-T2 PNG CAB ASSY City of Lake Forest,B-T22,"$7,850.23"
CAB16390,TS2-T2 PNG CAB ASSY City of Lake Forest Alton Parkway @ Monarch,B-T22,"$8,027.97"
CAB16391,TS1 HARDWIRED CAB City of Rancho Cucamonga Church Street @ Mayten Ave.,B-TS1,"$9,136.12"
CAB16392,TS2-T1 PNG CAB ASSY,B-T21,"$4,919.49"
CAB16393,TS2-T1 PNG CAB ASSY,B-T21,"$6,539.48"
CAB16394,TS2-T1 PNG CAB ASSY,B-T21,"$6,539.48"
CAB16395,TS2-T1 PNG CAB ASSY,B-T21,"$6,539.48"
